Z,RC20,RC40,RC60,RC80,RC100,RC120,A20,A40,A60,A80,A100,A120
4335,-66.65715631,-33.32387957,0,33.30945868,66.62024128,99.91693708,2.01607E-07,1.00789E-07,0,1.00746E-07,2.01496E-07,3.02203E-07
4342.5,-66.65879718,-33.32551708,0,33.22569222,66.62837882,99.93155484,2.12146E-07,1.06061E-07,0,1.05743E-07,2.12049E-07,3.18039E-07
4350,-66.66023146,-33.3269491,0,33.28241858,66.63550522,99.94436231,2.19663E-07,1.09821E-07,0,1.09674E-07,2.19581E-07,3.29342E-07
4357.5,-66.66154133,-33.32825745,0,33.33588616,66.64202438,99.95608334,2.24778E-07,1.12381E-07,0,1.12406E-07,2.24713E-07,3.37045E-07
4365,-66.66277364,-33.32948881,0,33.42841623,66.64816702,99.96713167,2.27824E-07,1.13906E-07,0,1.14244E-07,2.27774E-07,3.41644E-07
4372.5,-66.66395888,-33.33067359,0,33.25464775,66.65408405,99.97777824,2.28926E-07,1.14458E-07,0,1.14197E-07,2.28892E-07,3.43326E-07
4380,-66.6651229,-33.33183756,0,33.3612405,66.65990312,99.98825213,2.28347E-07,1.14171E-07,0,1.14272E-07,2.28329E-07,3.42488E-07
4387.5,-66.66628603,-33.33300096,0,33.30702223,66.66572421,99.99873255,2.26443E-07,1.13221E-07,0,1.13133E-07,2.26441E-07,3.39663E-07
4395,-66.66746337,-33.33417886,0,33.22199573,66.67162228,100.0093542,2.23389E-07,1.11696E-07,0,1.1132E-07,2.23403E-07,3.35111E-07
4402.5,-66.668672,-33.33538845,0,33.24385229,66.67768433,100.0202743,2.18954E-07,1.0948E-07,0,1.0918E-07,2.18983E-07,3.28487E-07
4410,-66.66993203,-33.33664984,0,33.3836077,66.68401169,100.0316758,2.1313E-07,1.0657E-07,0,1.06721E-07,2.13175E-07,3.19781E-07
4417.5,-66.67125315,-33.33797264,0,33.27136081,66.69065082,100.0436412,2.0651E-07,1.03262E-07,0,1.03056E-07,2.0657E-07,3.09879E-07
4425,-66.67265976,-33.33938136,0,33.27305047,66.69772585,100.0563951,1.98908E-07,9.9463E-08,0,9.92651E-08,1.98983E-07,2.98503E-07
4432.5,-66.67419654,-33.34092089,0,33.40776628,66.70546452,100.0703491,1.89915E-07,9.49686E-08,0,9.5159E-08,1.90005E-07,2.85041E-07
4440,-66.67589107,-33.34261883,0,33.42435774,66.71400516,100.0857527,1.79902E-07,8.99637E-08,0,9.01842E-08,1.80005E-07,2.70047E-07
4447.5,-66.67779258,-33.34452457,0,33.26315692,66.7235971,100.103056,1.68917E-07,8.44728E-08,0,8.42667E-08,1.69033E-07,2.53594E-07
4455,-66.67999193,-33.34672934,0,33.39883071,66.73470172,100.1230925,1.56754E-07,7.8393E-08,0,7.85155E-08,1.56883E-07,2.35374E-07
4462.5,-66.68259584,-33.3493402,0,33.42475483,66.74785974,100.1468389,1.43536E-07,7.17853E-08,0,7.19476E-08,1.43676E-07,2.15568E-07
4470,-66.68572785,-33.35248108,0,33.35571967,66.76369666,100.1754245,1.29615E-07,6.48263E-08,0,6.48326E-08,1.29767E-07,1.94708E-07
4477.5,-66.68958199,-33.35634669,0,33.35831361,66.78319582,100.2106251,1.15218E-07,5.7629E-08,0,5.76324E-08,1.1538E-07,1.73132E-07
4485,-66.69455191,-33.36133208,0,33.62512689,66.80835378,100.2560474,1.00223E-07,5.01325E-08,0,5.05289E-08,1.00394E-07,1.50656E-07
4492.5,-66.70129791,-33.36809991,0,33.56797098,66.84251882,100.317739,8.4695E-08,4.23697E-08,0,4.26235E-08,8.48743E-08,1.2738E-07
4500,-66.71105836,-33.37789295,0,33.41508594,66.89197051,100.4070425,6.88036E-08,3.44249E-08,0,3.44632E-08,6.89902E-08,1.03557E-07
4507.5,-66.72657868,-33.39346639,0,33.6964409,66.97063067,100.5491043,5.27039E-08,2.63758E-08,0,2.66151E-08,5.28967E-08,7.94186E-08
4515,-66.75602595,-33.42301646,0,33.47192669,67.11991541,100.818733,3.62909E-08,1.81699E-08,0,1.81965E-08,3.64887E-08,5.48086E-08
4522.5,-66.83554289,-33.50281477,0,33.61553031,67.52310709,101.5469858,1.96081E-08,9.82902E-09,0,9.86209E-09,1.98099E-08,2.97918E-08
4530,-67.84306637,-34.51392953,0,35.72007263,72.632289,110.775522,2.89528E-09,1.47292E-09,0,1.52439E-09,3.09966E-09,4.72746E-09
4537.5,-66.42083264,-33.08662081,0,32.67541775,65.41998955,97.74815011,1.36571E-08,6.80309E-09,0,6.71854E-09,1.34513E-08,2.00984E-08
4545,-66.55491109,-33.22117518,0,33.11878966,66.09986546,98.97616849,3.0118E-08,1.50335E-08,0,1.49872E-08,2.99121E-08,4.47895E-08
4552.5,-66.59451699,-33.26092,0,33.1764462,66.3006633,99.33884278,4.64044E-08,2.31769E-08,0,2.3118E-08,4.61996E-08,6.92213E-08
4560,-66.61340198,-33.27986992,0,33.04003178,66.3963821,99.51171533,6.2087E-08,3.10185E-08,0,3.0795E-08,6.18848E-08,9.27499E-08
4567.5,-66.62476924,-33.29127527,0,33.53476949,66.45397752,99.61572658,7.74342E-08,3.86926E-08,0,3.89756E-08,7.72357E-08,1.15778E-07
4575,-66.63249884,-33.29902997,0,33.13415489,66.49312566,99.68641692,9.24908E-08,4.62215E-08,0,4.59926E-08,9.22973E-08,1.38372E-07
4582.5,-66.63814762,-33.30469639,0,33.38206149,66.52172094,99.73804556,1.07115E-07,5.35344E-08,0,5.36587E-08,1.06928E-07,1.6032E-07
4590,-66.64249323,-33.30905492,0,33.35383076,66.54370641,99.77773453,1.21137E-07,6.05466E-08,0,6.06279E-08,1.20958E-07,1.81368E-07
4597.5,-66.6459344,-33.31250566,0,33.15964228,66.56110292,99.80913349,1.34133E-07,6.70455E-08,0,6.67378E-08,1.33962E-07,2.00878E-07
4605,-66.64880248,-33.31538118,0,33.35989014,66.5755917,99.83527965,1.46332E-07,7.3146E-08,0,7.32437E-08,1.46171E-07,2.19195E-07
4612.5,-66.65130971,-33.31789458,0,33.13781887,66.5882506,99.85812056,1.58196E-07,7.90794E-08,0,7.8652E-08,1.58046E-07,2.37011E-07
4620,-66.65353861,-33.32012862,0,33.27369258,66.59949766,99.87841111,1.69642E-07,8.48043E-08,0,8.46862E-08,1.69505E-07,2.54204E-07
4627.5,-66.65555058,-33.32214493,0,33.16427395,66.60964395,99.89671308,1.80599E-07,9.02842E-08,0,8.98565E-08,1.80475E-07,2.70664E-07
4635,-66.6574083,-33.32400646,0,33.20496917,66.6190083,99.91360276,1.91358E-07,9.56654E-08,0,9.53236E-08,1.91247E-07,2.86828E-07
4642.5,-66.65914154,-33.32574306,0,33.3620414,66.62774156,99.92935263,2.01934E-07,1.00955E-07,0,1.01065E-07,2.01839E-07,3.02721E-07
4650,-66.66076667,-33.32737114,0,33.2612919,66.63592596,99.9441108,2.12096E-07,1.06038E-07,0,1.05828E-07,2.12017E-07,3.17994E-07
4657.5,-66.6623082,-33.32891531,0,33.31708619,66.64368627,99.95810289,2.22013E-07,1.10999E-07,0,1.10959E-07,2.21951E-07,3.32901E-07
4665,-66.66378371,-33.33039328,0,33.34665893,66.65111273,99.97149238,2.31967E-07,1.15978E-07,0,1.16035E-07,2.31923E-07,3.47866E-07
4672.5,-66.6652001,-33.33181191,0,33.26382168,66.65823933,99.98434022,2.41721E-07,1.20857E-07,0,1.20611E-07,2.41695E-07,3.62532E-07
4680,-66.66656667,-33.3331805,0,33.409072,66.66511234,99.99672959,2.51057E-07,1.25528E-07,0,1.25814E-07,2.51052E-07,3.76574E-07
4687.5,-66.66789207,-33.33450776,0,33.23527504,66.67177647,100.0087416,2.60196E-07,1.301E-07,0,1.29713E-07,2.60211E-07,3.90321E-07
4695,-66.66918129,-33.33579874,0,33.29922588,66.67825765,100.0204234,2.69279E-07,1.34644E-07,0,1.34497E-07,2.69316E-07,4.03986E-07
4702.5,-66.67044301,-33.33706208,0,33.36556229,66.68459841,100.0318512,2.77949E-07,1.38982E-07,0,1.39101E-07,2.78008E-07,4.17032E-07
4710,-66.67169228,-33.33831274,0,33.33749279,66.69087264,100.0431573,2.85613E-07,1.42817E-07,0,1.42813E-07,2.85695E-07,4.28572E-07
4717.5,-66.67293672,-33.33955841,0,33.39761902,66.69711924,100.054412,2.92287E-07,1.46157E-07,0,1.46411E-07,2.92393E-07,4.38627E-07
4725,-66.67417234,-33.34079516,0,33.32367106,66.70331996,100.0655834,2.98455E-07,1.49244E-07,0,1.49168E-07,2.98586E-07,4.47926E-07
4732.5,-66.6754098,-33.34203365,0,33.41649044,66.7095277,100.0767665,3.0385E-07,1.51945E-07,0,1.52284E-07,3.04006E-07,4.56066E-07
4740,-66.67666777,-33.34329249,0,33.35834048,66.71583487,100.0881272,3.07988E-07,1.54017E-07,0,1.54087E-07,3.08169E-07,4.6232E-07
4747.5,-66.67794103,-33.34456653,0,33.33434825,66.72221663,100.0996212,3.1125E-07,1.55651E-07,0,1.55604E-07,3.11457E-07,4.67261E-07
4755,-66.6792457,-33.34587185,0,33.3054033,66.72875305,100.1113926,3.13325E-07,1.56692E-07,0,1.56502E-07,3.13557E-07,4.70422E-07
4762.5,-66.68061835,-33.34724497,0,33.41848953,66.73562554,100.1237672,3.13465E-07,1.56765E-07,0,1.571E-07,3.13724E-07,4.70682E-07
4770,-66.68205941,-33.34868634,0,33.37234946,66.742837,100.1367506,3.11981E-07,1.56026E-07,0,1.56137E-07,3.12265E-07,4.68503E-07
4777.5,-66.68356082,-33.35018796,0,33.31344149,66.75034825,100.1502727,3.09325E-07,1.54701E-07,0,1.54531E-07,3.09634E-07,4.64566E-07
4785,-66.68512758,-33.35175485,0,33.36012692,66.75818451,100.164379,3.05623E-07,1.52854E-07,0,1.52892E-07,3.05958E-07,4.59061E-07
4792.5,-66.68678442,-33.3534117,0,33.43105497,66.7664689,100.179291,3.0067E-07,1.5038E-07,0,1.5073E-07,3.0103E-07,4.51678E-07
4800,-66.68856677,-33.35519391,0,33.46593838,66.77537781,100.1953257,2.94204E-07,1.4715E-07,0,1.47639E-07,2.94587E-07,4.42023E-07
4807.5,-66.69050449,-33.35713132,0,33.29184721,66.78506012,100.212751,2.86191E-07,1.43147E-07,0,1.42866E-07,2.86597E-07,4.30047E-07
4815,-66.69261468,-33.35924102,0,33.35635378,66.7956014,100.231721,2.7686E-07,1.38484E-07,0,1.38472E-07,2.77287E-07,4.1609E-07
4822.5,-66.69494,-33.36156567,0,33.29255662,66.80721448,100.2526184,2.66194E-07,1.33153E-07,0,1.32878E-07,2.66642E-07,4.0013E-07
4830,-66.69751017,-33.36413496,0,33.38139753,66.82004775,100.2757104,2.54426E-07,1.27272E-07,0,1.27338E-07,2.54893E-07,3.82514E-07
4837.5,-66.70034082,-33.36696455,0,33.43588801,66.83417977,100.3011384,2.41936E-07,1.21029E-07,0,1.21279E-07,2.42422E-07,3.63813E-07
4845,-66.7035246,-33.370147,0,33.32614646,66.85007215,100.3297328,2.28539E-07,1.14332E-07,0,1.14182E-07,2.29041E-07,3.43748E-07
4852.5,-66.70716425,-33.373785,0,33.5244201,66.86823724,100.3624151,2.14223E-07,1.07176E-07,0,1.0766E-07,2.1474E-07,3.22304E-07
4860,-66.71134955,-33.37796826,0,33.3922434,66.88912301,100.3999911,1.99245E-07,9.96893E-08,0,9.9732E-08,1.99776E-07,2.99863E-07
4867.5,-66.7161711,-33.38278736,0,33.47430093,66.91318186,100.4432751,1.83942E-07,9.20392E-08,0,9.22915E-08,1.84485E-07,2.76931E-07
