Z,LR20,LR40,LR60,LR80,LR100,LR120
742.5,3.41985E-05,5.85233E-05,7.63838E-05,8.98208E-05,0.000100126,0.000108155
750,3.40361E-05,5.827E-05,7.60771E-05,8.94811E-05,9.97653E-05,0.00010778
757.5,3.39337E-05,5.81271E-05,7.59249E-05,8.93361E-05,9.96363E-05,0.000107671
765,3.39603E-05,5.82222E-05,7.61068E-05,8.96125E-05,0.00010001,0.000108142
772.5,3.37693E-05,5.79154E-05,7.57245E-05,8.91774E-05,9.95349E-05,0.000107635
780,3.37273E-05,5.78835E-05,7.5728E-05,8.92286E-05,9.96399E-05,0.000107797
787.5,3.35797E-05,5.76564E-05,7.54572E-05,8.89338E-05,9.93324E-05,0.000107483
795,3.34628E-05,5.74857E-05,7.52653E-05,8.87385E-05,9.91434E-05,0.000107306
802.5,3.33498E-05,5.73219E-05,7.5083E-05,8.8555E-05,9.89683E-05,0.000107145
810,3.31203E-05,5.69421E-05,7.45965E-05,8.79873E-05,9.83347E-05,0.000106455
817.5,3.2953E-05,5.6677E-05,7.4271E-05,8.76224E-05,9.79427E-05,0.000106043
825,3.27593E-05,5.63626E-05,7.38756E-05,8.71689E-05,9.74446E-05,0.000105508
832.5,3.24148E-05,5.57681E-05,7.30855E-05,8.62161E-05,9.63501E-05,0.000104286
840,3.2218E-05,5.54466E-05,7.26789E-05,8.57472E-05,9.58324E-05,0.000103727
847.5,3.20769E-05,5.5228E-05,7.24168E-05,8.54605E-05,9.55321E-05,0.00010342
855,3.18714E-05,5.48895E-05,7.19854E-05,8.49596E-05,9.49755E-05,0.000102816
862.5,3.18118E-05,5.48213E-05,7.19346E-05,8.49394E-05,9.4993E-05,0.000102875
870,3.16E-05,5.44704E-05,7.14851E-05,8.4415E-05,9.4408E-05,0.000102238
877.5,3.1418E-05,5.41745E-05,7.11126E-05,8.39877E-05,9.39386E-05,0.000101734
885,3.11728E-05,5.37606E-05,7.05734E-05,8.33488E-05,9.32161E-05,0.000100938
892.5,3.09612E-05,5.34086E-05,7.01207E-05,8.2819E-05,9.26233E-05,0.000100291
900,3.07E-05,5.29637E-05,6.95366E-05,8.21222E-05,9.18305E-05,9.94132E-05
907.5,3.0392E-05,5.24311E-05,6.8828E-05,8.12673E-05,9.0848E-05,9.83153E-05
915,3.01637E-05,5.20462E-05,6.83271E-05,8.06744E-05,9.0178E-05,9.75775E-05
922.5,2.98709E-05,5.15405E-05,6.76551E-05,7.98644E-05,8.92479E-05,9.65388E-05
930,2.96987E-05,5.12588E-05,6.72987E-05,7.94535E-05,8.87944E-05,9.605E-05
937.5,2.94343E-05,5.08048E-05,6.66984E-05,7.87332E-05,8.79705E-05,9.51329E-05
945,2.92953E-05,5.05839E-05,6.64268E-05,7.84288E-05,8.76435E-05,9.47894E-05
952.5,2.90524E-05,5.01691E-05,6.58809E-05,7.77764E-05,8.69E-05,9.39643E-05
960,2.89368E-05,4.99909E-05,6.5669E-05,7.75469E-05,8.6662E-05,9.37231E-05
967.5,2.85435E-05,4.92947E-05,6.47243E-05,7.63879E-05,8.53111E-05,9.21953E-05
975,2.83706E-05,4.90086E-05,6.43586E-05,7.59623E-05,8.48373E-05,9.16803E-05
982.5,2.8282E-05,4.88794E-05,6.42145E-05,7.58173E-05,8.46992E-05,9.15532E-05
990,2.8018E-05,4.84226E-05,6.36067E-05,7.5084E-05,8.38564E-05,9.06113E-05
997.5,2.78454E-05,4.81357E-05,6.32387E-05,7.46544E-05,8.33768E-05,9.00886E-05
1005,2.75393E-05,4.75993E-05,6.25171E-05,7.37756E-05,8.23587E-05,8.8943E-05
1012.5,2.73116E-05,4.72086E-05,6.2001E-05,7.31568E-05,8.16513E-05,8.81559E-05
1020,2.70941E-05,4.68364E-05,6.15105E-05,7.257E-05,8.09818E-05,8.74122E-05
1027.5,2.69294E-05,4.65624E-05,6.11586E-05,7.21588E-05,8.05223E-05,8.69108E-05
1035,2.67835E-05,4.63232E-05,6.08558E-05,7.18094E-05,8.01365E-05,8.64945E-05
1042.5,2.68049E-05,4.63965E-05,6.09955E-05,7.2022E-05,8.04241E-05,8.6857E-05
1050,2.6652E-05,4.6144E-05,6.06734E-05,7.16481E-05,8.00088E-05,8.64066E-05
1057.5,2.65039E-05,4.58999E-05,6.0363E-05,7.12887E-05,7.96106E-05,8.59758E-05
1065,2.63608E-05,4.56649E-05,6.00653E-05,7.09451E-05,7.92312E-05,8.55663E-05
1072.5,2.62343E-05,4.54606E-05,5.98107E-05,7.06561E-05,7.89171E-05,8.52323E-05
1080,2.61184E-05,4.52761E-05,5.95839E-05,7.04021E-05,7.86447E-05,8.49463E-05
1087.5,2.60064E-05,4.50985E-05,5.93668E-05,7.01603E-05,7.83867E-05,8.4677E-05
1095,2.5903E-05,4.49368E-05,5.91719E-05,6.99467E-05,7.81624E-05,8.44464E-05
1102.5,2.58057E-05,4.47863E-05,5.89928E-05,6.97529E-05,7.79618E-05,8.42432E-05
1110,2.57212E-05,4.46597E-05,5.88475E-05,6.96019E-05,7.78123E-05,8.40993E-05
1117.5,2.56421E-05,4.4543E-05,5.8716E-05,6.94685E-05,7.7684E-05,8.39797E-05
1125,2.55716E-05,4.44422E-05,5.86072E-05,6.93638E-05,7.75901E-05,8.38999E-05
1132.5,2.55019E-05,4.43429E-05,5.85002E-05,6.92613E-05,7.74989E-05,8.38233E-05
1140,2.54322E-05,4.42434E-05,5.83929E-05,6.91585E-05,7.74072E-05,8.37461E-05
1147.5,2.53601E-05,4.41393E-05,5.82788E-05,6.9047E-05,7.7305E-05,8.36568E-05
1155,2.52849E-05,4.40291E-05,5.81562E-05,6.89244E-05,7.71895E-05,8.35521E-05
1162.5,2.52069E-05,4.39136E-05,5.80258E-05,6.87919E-05,7.70621E-05,8.34336E-05
1170,2.51357E-05,4.38108E-05,5.79134E-05,6.86823E-05,7.69622E-05,8.33469E-05
1177.5,2.50649E-05,4.37085E-05,5.78016E-05,6.85734E-05,7.68629E-05,8.32609E-05
1185,2.49898E-05,4.3598E-05,5.7678E-05,6.84493E-05,7.67455E-05,8.3154E-05
1192.5,2.49221E-05,4.35013E-05,5.75739E-05,6.83501E-05,7.66579E-05,8.30815E-05
1200,2.48562E-05,4.34078E-05,5.74742E-05,6.82564E-05,7.6577E-05,8.30169E-05
1207.5,2.47924E-05,4.33181E-05,5.738E-05,6.81696E-05,7.65043E-05,8.29618E-05
1215,2.47337E-05,4.3238E-05,5.72992E-05,6.81E-05,7.64522E-05,8.29307E-05
1222.5,2.4669E-05,4.31464E-05,5.72021E-05,6.80094E-05,7.6375E-05,8.28704E-05
1230,2.46056E-05,4.30572E-05,5.71082E-05,6.7923E-05,7.63028E-05,8.28159E-05
1237.5,2.45434E-05,4.29701E-05,5.70173E-05,6.78403E-05,7.6235E-05,8.27666E-05
1245,2.44779E-05,4.28766E-05,5.69172E-05,6.77457E-05,7.6153E-05,8.27009E-05
1252.5,2.44174E-05,4.27925E-05,5.68304E-05,6.76682E-05,7.60915E-05,8.26589E-05
1260,2.43589E-05,4.2712E-05,5.67487E-05,6.75971E-05,7.60376E-05,8.26258E-05
1267.5,2.42962E-05,4.26234E-05,5.66552E-05,6.7511E-05,7.59658E-05,8.25719E-05
1275,2.42318E-05,4.25316E-05,5.65572E-05,6.7419E-05,7.58868E-05,8.25098E-05
1282.5,2.41709E-05,4.24462E-05,5.64682E-05,6.73385E-05,7.58216E-05,8.24638E-05
1290,2.41096E-05,4.23601E-05,5.63781E-05,6.72566E-05,7.57548E-05,8.24158E-05
1297.5,2.40541E-05,4.22845E-05,5.6303E-05,6.71937E-05,7.57109E-05,8.23945E-05
1305,2.39978E-05,4.22076E-05,5.62259E-05,6.71283E-05,7.5664E-05,8.23696E-05
1312.5,2.39494E-05,4.21453E-05,5.61697E-05,6.70895E-05,7.56491E-05,8.23821E-05
1320,2.39019E-05,4.20849E-05,5.61159E-05,6.70539E-05,7.56381E-05,8.23992E-05
1327.5,2.38538E-05,4.20231E-05,5.60603E-05,6.70159E-05,7.56242E-05,8.24129E-05
1335,2.38139E-05,4.19766E-05,5.60265E-05,6.70058E-05,7.5644E-05,8.24659E-05
1342.5,2.37806E-05,4.19427E-05,5.60107E-05,6.70187E-05,7.56917E-05,8.25513E-05
1350,2.37469E-05,4.19079E-05,5.59934E-05,6.70299E-05,7.57372E-05,8.26345E-05
1357.5,2.37108E-05,4.18686E-05,5.59699E-05,6.7033E-05,7.57732E-05,8.27066E-05
1365,2.36728E-05,4.18255E-05,5.59408E-05,6.70291E-05,7.58009E-05,8.27692E-05
1372.5,2.36317E-05,4.17766E-05,5.59035E-05,6.70146E-05,7.58158E-05,8.2817E-05
1380,2.35924E-05,4.17309E-05,5.58707E-05,6.70061E-05,7.5838E-05,8.28735E-05
1387.5,2.35442E-05,4.16684E-05,5.58138E-05,6.69666E-05,7.58229E-05,8.28867E-05
1395,2.34897E-05,4.15938E-05,5.57397E-05,6.69051E-05,7.57813E-05,8.28692E-05
1402.5,2.34395E-05,4.15274E-05,5.5677E-05,6.68583E-05,7.57575E-05,8.28723E-05
1410,2.33842E-05,4.14511E-05,5.56003E-05,6.67935E-05,7.57119E-05,8.28503E-05
1417.5,2.33243E-05,4.1366E-05,5.55108E-05,6.67123E-05,7.56465E-05,8.28054E-05
1425,2.32773E-05,4.13052E-05,5.54561E-05,6.66755E-05,7.56349E-05,8.28229E-05
1432.5,2.32321E-05,4.12478E-05,5.54062E-05,6.66449E-05,7.56307E-05,8.28491E-05
1440,2.3183E-05,4.1183E-05,5.53456E-05,6.66007E-05,7.56101E-05,8.28564E-05
1447.5,2.31387E-05,4.11272E-05,5.52979E-05,6.6573E-05,7.56095E-05,8.2887E-05
1455,2.30929E-05,4.10683E-05,5.52457E-05,6.65395E-05,7.5602E-05,8.29097E-05
1462.5,2.3056E-05,4.10263E-05,5.52177E-05,6.6537E-05,7.56319E-05,8.2976E-05
1470,2.30284E-05,4.1002E-05,5.52152E-05,6.65673E-05,7.57014E-05,8.30885E-05
1477.5,2.29964E-05,4.09693E-05,5.52005E-05,6.6582E-05,7.57524E-05,8.31795E-05
1485,2.29621E-05,4.09321E-05,5.51794E-05,6.65885E-05,7.57934E-05,8.32592E-05
1492.5,2.29358E-05,4.091E-05,5.51799E-05,6.66228E-05,7.58682E-05,8.33782E-05
1500,2.2905E-05,4.08795E-05,5.51684E-05,6.66417E-05,7.59244E-05,8.34758E-05
1507.5,2.28728E-05,4.08461E-05,5.51528E-05,6.66554E-05,7.59745E-05,8.35664E-05
1515,2.28449E-05,4.08209E-05,5.51489E-05,6.66843E-05,7.60429E-05,8.36785E-05
1522.5,2.28158E-05,4.07934E-05,5.51416E-05,6.67088E-05,7.61062E-05,8.37849E-05
1530,2.27911E-05,4.07742E-05,5.51465E-05,6.67489E-05,7.61886E-05,8.39135E-05
1537.5,2.27655E-05,4.07533E-05,5.51488E-05,6.67859E-05,7.62672E-05,8.4038E-05
1545,2.2733E-05,4.07193E-05,5.51322E-05,6.67987E-05,7.63167E-05,8.41286E-05
1552.5,2.2702E-05,4.06879E-05,5.51195E-05,6.68165E-05,7.63724E-05,8.42266E-05
1560,2.26715E-05,4.06575E-05,5.51081E-05,6.6836E-05,7.64302E-05,8.43273E-05
