Z,N1,M1,N3,M3,N5,M5
1252.5,9.59E-06,6.07E-06,2.67E-06,1.37E-06,2.83E-06,1.37E-06
1260,9.66E-06,6.06E-06,2.58E-06,1.37E-06,2.88E-06,1.37E-06
1267.5,9.56E-06,6.05E-06,2.65E-06,1.37E-06,2.93E-06,1.37E-06
1275,9.73E-06,6.04E-06,2.73E-06,1.37E-06,2.80E-06,1.37E-06
1282.5,9.67E-06,6.03E-06,2.68E-06,1.37E-06,2.72E-06,1.37E-06
1290,9.85E-06,6.02E-06,2.65E-06,1.36E-06,2.89E-06,1.36E-06
1297.5,9.47E-06,6.01E-06,2.71E-06,1.36E-06,2.69E-06,1.36E-06
1305,9.37E-06,6.00E-06,2.62E-06,1.36E-06,2.82E-06,1.36E-06
1312.5,9.59E-06,5.99E-06,2.63E-06,1.36E-06,2.66E-06,1.36E-06
1320,9.40E-06,5.98E-06,2.63E-06,1.36E-06,2.80E-06,1.36E-06
1327.5,9.51E-06,5.97E-06,2.61E-06,1.36E-06,2.76E-06,1.36E-06
1335,9.44E-06,5.96E-06,2.60E-06,1.36E-06,2.88E-06,1.36E-06
1342.5,9.31E-06,5.95E-06,2.64E-06,1.36E-06,2.72E-06,1.36E-06
1350,9.34E-06,5.94E-06,2.57E-06,1.35E-06,2.91E-06,1.35E-06
1357.5,9.31E-06,5.93E-06,2.61E-06,1.35E-06,2.63E-06,1.35E-06
1365,9.25E-06,5.92E-06,2.59E-06,1.35E-06,2.66E-06,1.35E-06
1372.5,9.20E-06,5.91E-06,2.59E-06,1.35E-06,2.73E-06,1.35E-06
1380,9.28E-06,5.90E-06,2.58E-06,1.35E-06,2.51E-06,1.35E-06
1387.5,8.99E-06,5.89E-06,2.58E-06,1.35E-06,2.64E-06,1.35E-06
1395,9.03E-06,5.88E-06,2.56E-06,1.35E-06,2.69E-06,1.35E-06
1402.5,9.08E-06,5.87E-06,2.59E-06,1.35E-06,2.66E-06,1.35E-06
1410,9.09E-06,5.86E-06,2.63E-06,1.34E-06,2.63E-06,1.34E-06
1417.5,9.07E-06,5.85E-06,2.54E-06,1.34E-06,2.72E-06,1.34E-06
1425,9.13E-06,5.84E-06,2.55E-06,1.34E-06,2.67E-06,1.34E-06
1432.5,8.81E-06,5.83E-06,2.55E-06,1.34E-06,2.78E-06,1.34E-06
1440,8.86E-06,5.82E-06,2.63E-06,1.34E-06,2.70E-06,1.34E-06
1447.5,8.93E-06,5.82E-06,2.57E-06,1.34E-06,2.52E-06,1.34E-06
1455,8.90E-06,5.81E-06,2.54E-06,1.34E-06,2.55E-06,1.34E-06
1462.5,8.78E-06,5.80E-06,2.55E-06,1.34E-06,2.78E-06,1.34E-06
1470,8.72E-06,5.79E-06,2.56E-06,1.33E-06,2.42E-06,1.33E-06
1477.5,9.07E-06,5.78E-06,2.55E-06,1.33E-06,2.48E-06,1.33E-06
1485,8.80E-06,5.77E-06,2.51E-06,1.33E-06,2.36E-06,1.33E-06
1492.5,8.82E-06,5.76E-06,2.49E-06,1.33E-06,2.45E-06,1.33E-06
1500,8.68E-06,5.75E-06,2.55E-06,1.33E-06,2.69E-06,1.33E-06
1507.5,8.84E-06,5.74E-06,2.53E-06,1.33E-06,2.50E-06,1.33E-06
1515,8.66E-06,5.73E-06,2.45E-06,1.33E-06,2.62E-06,1.33E-06
1522.5,8.59E-06,5.72E-06,2.43E-06,1.33E-06,2.45E-06,1.33E-06
1530,8.36E-06,5.71E-06,2.54E-06,1.32E-06,2.44E-06,1.32E-06
1537.5,8.62E-06,5.70E-06,2.50E-06,1.32E-06,2.56E-06,1.32E-06
1545,8.35E-06,5.69E-06,2.49E-06,1.32E-06,2.71E-06,1.32E-06
1552.5,8.52E-06,5.68E-06,2.56E-06,1.32E-06,2.51E-06,1.32E-06
1560,8.46E-06,5.67E-06,2.46E-06,1.32E-06,2.62E-06,1.32E-06
1567.5,8.35E-06,5.66E-06,2.37E-06,1.32E-06,2.66E-06,1.32E-06
1575,8.45E-06,5.65E-06,2.50E-06,1.32E-06,2.52E-06,1.32E-06
1582.5,8.85E-06,5.64E-06,2.46E-06,1.32E-06,2.50E-06,1.32E-06
1590,8.28E-06,5.64E-06,2.52E-06,1.31E-06,2.48E-06,1.31E-06
1597.5,8.73E-06,5.63E-06,2.49E-06,1.31E-06,2.36E-06,1.31E-06
1605,8.63E-06,5.62E-06,2.46E-06,1.31E-06,2.46E-06,1.31E-06
1612.5,8.40E-06,5.61E-06,2.49E-06,1.31E-06,2.54E-06,1.31E-06
1620,8.49E-06,5.60E-06,2.51E-06,1.31E-06,2.49E-06,1.31E-06
1627.5,8.62E-06,5.59E-06,2.49E-06,1.31E-06,2.61E-06,1.31E-06
1635,8.41E-06,5.58E-06,2.39E-06,1.31E-06,2.35E-06,1.31E-06
1642.5,8.17E-06,5.57E-06,2.48E-06,1.31E-06,2.43E-06,1.31E-06
1650,8.23E-06,5.56E-06,2.46E-06,1.31E-06,2.45E-06,1.31E-06
