Z,N1,M1,N3,M3,N5,M5
14527.5,6.30E-07,4.97E-07,1.11E-07,2.28E-07,3.02E-07,2.28E-07
14535,6.31E-07,4.96E-07,1.76E-07,2.28E-07,3.02E-07,2.28E-07
14542.5,-1.45E-08,4.95E-07,1.76E-07,2.27E-07,-6.38E-08,2.27E-07
14550,3.09E-07,4.95E-07,4.38E-07,2.27E-07,3.03E-07,2.27E-07
14557.5,3.09E-07,4.94E-07,5.69E-07,2.27E-07,-6.39E-08,2.27E-07
14565,-1.45E-08,4.93E-07,1.12E-07,2.27E-07,-6.40E-08,2.27E-07
14572.5,3.10E-07,4.93E-07,2.43E-07,2.26E-07,6.72E-07,2.26E-07
14580,3.10E-07,4.92E-07,-1.92E-08,2.26E-07,3.04E-07,2.26E-07
14587.5,3.11E-07,4.91E-07,1.78E-07,2.26E-07,3.05E-07,2.26E-07
14595,1.29E-06,4.90E-07,5.72E-07,2.25E-07,6.74E-07,2.25E-07
14602.5,3.11E-07,4.90E-07,1.12E-07,2.25E-07,3.05E-07,2.25E-07
14610,3.11E-07,4.89E-07,5.07E-07,2.25E-07,3.05E-07,2.25E-07
14617.5,6.38E-07,4.88E-07,3.10E-07,2.25E-07,3.06E-07,2.25E-07
14625,-1.46E-08,4.88E-07,3.10E-07,2.24E-07,3.06E-07,2.24E-07
14632.5,6.40E-07,4.87E-07,2.45E-07,2.24E-07,3.06E-07,2.24E-07
14640,3.13E-07,4.86E-07,1.79E-07,2.24E-07,-6.47E-08,2.24E-07
14647.5,9.69E-07,4.86E-07,2.45E-07,2.23E-07,-6.47E-08,2.23E-07
14655,-1.47E-08,4.85E-07,2.45E-07,2.23E-07,3.07E-07,2.23E-07
14662.5,-1.47E-08,4.84E-07,1.13E-07,2.23E-07,6.80E-07,2.23E-07
14670,3.14E-07,4.84E-07,4.69E-08,2.23E-07,6.81E-07,2.23E-07
14677.5,3.14E-07,4.83E-07,1.80E-07,2.22E-07,1.05E-06,2.22E-07
14685,3.15E-07,4.82E-07,1.80E-07,2.22E-07,3.09E-07,2.22E-07
14692.5,6.45E-07,4.82E-07,1.14E-07,2.22E-07,3.09E-07,2.22E-07
14700,6.45E-07,4.81E-07,1.14E-07,2.21E-07,-6.52E-08,2.21E-07
14707.5,3.16E-07,4.80E-07,2.47E-07,2.21E-07,3.10E-07,2.21E-07
14715,3.16E-07,4.80E-07,2.47E-07,2.21E-07,3.10E-07,2.21E-07
14722.5,6.47E-07,4.79E-07,3.14E-07,2.21E-07,-6.54E-08,2.21E-07
14730,1.31E-06,4.78E-07,1.81E-07,2.20E-07,-6.55E-08,2.20E-07
14737.5,6.49E-07,4.78E-07,2.48E-07,2.20E-07,-6.55E-08,2.20E-07
14745,3.17E-07,4.77E-07,3.82E-07,2.20E-07,-6.56E-08,2.20E-07
14752.5,6.50E-07,4.76E-07,1.82E-07,2.20E-07,3.11E-07,2.20E-07
14760,3.18E-07,4.76E-07,2.49E-07,2.19E-07,-6.57E-08,2.19E-07
14767.5,-1.49E-08,4.75E-07,1.15E-07,2.19E-07,-6.58E-08,2.19E-07
14775,3.19E-07,4.74E-07,2.49E-07,2.19E-07,6.91E-07,2.19E-07
14782.5,6.53E-07,4.74E-07,3.84E-07,2.18E-07,-6.59E-08,2.18E-07
14790,6.53E-07,4.73E-07,3.17E-07,2.18E-07,-6.60E-08,2.18E-07
14797.5,-1.50E-08,4.72E-07,1.83E-07,2.18E-07,3.13E-07,2.18E-07
14805,3.20E-07,4.72E-07,2.50E-07,2.18E-07,-6.61E-08,2.18E-07
14812.5,3.20E-07,4.71E-07,1.83E-07,2.17E-07,-6.62E-08,2.17E-07
14820,3.21E-07,4.70E-07,3.19E-07,2.17E-07,-6.63E-08,2.17E-07
14827.5,3.21E-07,4.70E-07,3.19E-07,2.17E-07,3.15E-07,2.17E-07
14835,-1.51E-08,4.69E-07,1.16E-07,2.17E-07,3.15E-07,2.17E-07
14842.5,3.21E-07,4.68E-07,3.87E-07,2.16E-07,-6.65E-08,2.16E-07
14850,-1.51E-08,4.68E-07,2.52E-07,2.16E-07,-6.65E-08,2.16E-07
14857.5,-1.51E-08,4.67E-07,4.81E-08,2.16E-07,3.16E-07,2.16E-07
14865,3.22E-07,4.66E-07,4.57E-07,2.15E-07,-6.67E-08,2.15E-07
14872.5,3.23E-07,4.66E-07,1.85E-07,2.15E-07,-6.67E-08,2.15E-07
14880,1.00E-06,4.65E-07,1.16E-07,2.15E-07,-6.68E-08,2.15E-07
14887.5,-1.52E-08,4.65E-07,1.17E-07,2.15E-07,-6.69E-08,2.15E-07
14895,3.24E-07,4.64E-07,1.17E-07,2.14E-07,-6.69E-08,2.14E-07
14902.5,1.00E-06,4.63E-07,4.84E-08,2.14E-07,-6.70E-08,2.14E-07
14910,-1.52E-08,4.63E-07,2.54E-07,2.14E-07,-6.71E-08,2.14E-07
14917.5,1.34E-06,4.62E-07,1.86E-07,2.14E-07,-6.71E-08,2.14E-07
14925,-1.52E-08,4.61E-07,2.54E-07,2.13E-07,-6.72E-08,2.13E-07
14932.5,6.66E-07,4.61E-07,1.86E-07,2.13E-07,3.19E-07,2.13E-07
14940,3.26E-07,4.60E-07,1.86E-07,2.13E-07,3.19E-07,2.13E-07
14947.5,3.26E-07,4.59E-07,-2.02E-08,2.13E-07,3.20E-07,2.13E-07
14955,6.68E-07,4.59E-07,3.93E-07,2.12E-07,1.10E-06,2.12E-07
14962.5,1.35E-06,4.58E-07,1.87E-07,2.12E-07,-6.75E-08,2.12E-07
14970,1.01E-06,4.58E-07,4.88E-08,2.12E-07,3.21E-07,2.12E-07
14977.5,3.27E-07,4.57E-07,3.25E-07,2.11E-07,3.21E-07,2.11E-07
14985,3.28E-07,4.56E-07,1.87E-07,2.11E-07,-6.78E-08,2.11E-07
14992.5,-1.54E-08,4.56E-07,2.57E-07,2.11E-07,3.22E-07,2.11E-07
15000,3.28E-07,4.55E-07,3.96E-07,2.11E-07,3.22E-07,2.11E-07
15007.5,-1.54E-08,4.54E-07,1.88E-07,2.10E-07,-6.80E-08,2.10E-07
15015,3.29E-07,4.54E-07,3.97E-07,2.10E-07,-6.80E-08,2.10E-07
15022.5,6.74E-07,4.53E-07,3.27E-07,2.10E-07,-6.81E-08,2.10E-07
15030,3.30E-07,4.52E-07,2.58E-07,2.10E-07,-6.82E-08,2.10E-07
15037.5,3.30E-07,4.52E-07,3.98E-07,2.09E-07,3.24E-07,2.09E-07
15045,6.76E-07,4.51E-07,3.28E-07,2.09E-07,3.24E-07,2.09E-07
15052.5,1.02E-06,4.51E-07,5.38E-07,2.09E-07,-6.84E-08,2.09E-07
15060,-1.55E-08,4.50E-07,2.59E-07,2.09E-07,-6.84E-08,2.09E-07
15067.5,3.31E-07,4.49E-07,1.89E-07,2.08E-07,-6.85E-08,2.08E-07
15075,-1.55E-08,4.49E-07,5.40E-07,2.08E-07,3.25E-07,2.08E-07
15082.5,1.03E-06,4.48E-07,1.20E-07,2.08E-07,3.26E-07,2.08E-07
15090,-1.56E-08,4.47E-07,1.20E-07,2.08E-07,-6.87E-08,2.08E-07
15097.5,3.33E-07,4.47E-07,1.20E-07,2.07E-07,-6.88E-08,2.07E-07
15105,1.03E-06,4.46E-07,4.01E-07,2.07E-07,-6.88E-08,2.07E-07
15112.5,1.03E-06,4.46E-07,1.91E-07,2.07E-07,-6.89E-08,2.07E-07
15120,6.83E-07,4.45E-07,2.61E-07,2.07E-07,7.23E-07,2.07E-07
15127.5,1.03E-06,4.44E-07,1.91E-07,2.06E-07,3.27E-07,2.06E-07
15135,6.84E-07,4.44E-07,1.20E-07,2.06E-07,-6.91E-08,2.06E-07
15142.5,3.35E-07,4.43E-07,3.33E-07,2.06E-07,-6.92E-08,2.06E-07
15150,-1.57E-08,4.43E-07,1.21E-07,2.06E-07,1.12E-06,2.06E-07
15157.5,-1.57E-08,4.42E-07,1.21E-07,2.05E-07,3.29E-07,2.05E-07
15165,3.36E-07,4.41E-07,3.34E-07,2.05E-07,3.29E-07,2.05E-07
15172.5,1.04E-06,4.41E-07,5.01E-08,2.05E-07,3.29E-07,2.05E-07
15180,3.36E-07,4.40E-07,3.34E-07,2.04E-07,3.30E-07,2.04E-07
15187.5,-1.58E-08,4.39E-07,2.63E-07,2.04E-07,-6.96E-08,2.04E-07
15195,1.04E-06,4.39E-07,1.93E-07,2.04E-07,-6.97E-08,2.04E-07
15202.5,6.90E-07,4.38E-07,4.06E-07,2.04E-07,3.31E-07,2.04E-07
15210,6.91E-07,4.38E-07,-2.09E-08,2.03E-07,7.32E-07,2.03E-07
15217.5,1.40E-06,4.37E-07,2.65E-07,2.03E-07,-6.99E-08,2.03E-07
15225,6.92E-07,4.36E-07,5.05E-08,2.03E-07,3.32E-07,2.03E-07
15232.5,3.39E-07,4.36E-07,2.65E-07,2.03E-07,3.32E-07,2.03E-07
15240,1.05E-06,4.35E-07,5.06E-08,2.02E-07,7.35E-07,2.02E-07
15247.5,-1.59E-08,4.35E-07,1.94E-07,2.02E-07,-7.01E-08,2.02E-07
15255,-1.59E-08,4.34E-07,2.66E-07,2.02E-07,7.36E-07,2.02E-07
15262.5,-1.59E-08,4.33E-07,1.94E-07,2.02E-07,7.37E-07,2.02E-07
15270,1.05E-06,4.33E-07,2.66E-07,2.01E-07,3.34E-07,2.01E-07
15277.5,3.41E-07,4.32E-07,5.08E-08,2.01E-07,-7.04E-08,2.01E-07
15285,1.05E-06,4.32E-07,3.39E-07,2.01E-07,3.34E-07,2.01E-07
15292.5,6.99E-07,4.31E-07,2.67E-07,2.01E-07,-7.06E-08,2.01E-07
15300,6.99E-07,4.30E-07,1.95E-07,2.00E-07,3.35E-07,2.00E-07
15307.5,7.00E-07,4.30E-07,4.12E-07,2.00E-07,-7.07E-08,2.00E-07
15315,3.42E-07,4.29E-07,1.96E-07,2.00E-07,-7.08E-08,2.00E-07
15322.5,1.06E-06,4.29E-07,3.41E-07,2.00E-07,-7.08E-08,2.00E-07
15330,-1.61E-08,4.28E-07,7.03E-07,1.99E-07,-7.09E-08,1.99E-07
15337.5,-1.61E-08,4.28E-07,1.96E-07,1.99E-07,-7.10E-08,1.99E-07
15345,3.44E-07,4.27E-07,1.24E-07,1.99E-07,3.37E-07,1.99E-07
15352.5,-1.61E-08,4.26E-07,1.97E-07,1.99E-07,-7.11E-08,1.99E-07
15360,7.05E-07,4.26E-07,1.97E-07,1.98E-07,-7.12E-08,1.98E-07
15367.5,7.05E-07,4.25E-07,2.70E-07,1.98E-07,3.38E-07,1.98E-07
15375,1.07E-06,4.25E-07,2.70E-07,1.98E-07,-7.13E-08,1.98E-07
15382.5,3.45E-07,4.24E-07,4.16E-07,1.98E-07,3.39E-07,1.98E-07
15390,7.07E-07,4.23E-07,1.25E-07,1.97E-07,3.39E-07,1.97E-07
15397.5,3.46E-07,4.23E-07,5.16E-08,1.97E-07,3.39E-07,1.97E-07
15405,1.07E-06,4.22E-07,1.25E-07,1.97E-07,-7.16E-08,1.97E-07
15412.5,3.47E-07,4.22E-07,1.25E-07,1.97E-07,3.40E-07,1.97E-07
15420,1.07E-06,4.21E-07,1.25E-07,1.96E-07,7.52E-07,1.96E-07
15427.5,7.11E-07,4.21E-07,1.25E-07,1.96E-07,-7.18E-08,1.96E-07
15435,3.48E-07,4.20E-07,1.99E-07,1.96E-07,3.41E-07,1.96E-07
15442.5,3.48E-07,4.19E-07,3.46E-07,1.96E-07,3.41E-07,1.96E-07
15450,7.13E-07,4.19E-07,2.73E-07,1.96E-07,-7.20E-08,1.96E-07
15457.5,3.49E-07,4.18E-07,1.26E-07,1.95E-07,3.42E-07,1.95E-07
15465,3.49E-07,4.18E-07,-2.16E-08,1.95E-07,3.42E-07,1.95E-07
15472.5,3.49E-07,4.17E-07,2.00E-07,1.95E-07,3.43E-07,1.95E-07
15480,1.08E-06,4.17E-07,3.48E-07,1.95E-07,-7.23E-08,1.95E-07
15487.5,1.45E-06,4.16E-07,2.74E-07,1.94E-07,3.43E-07,1.94E-07
15495,7.17E-07,4.15E-07,4.22E-07,1.94E-07,-7.24E-08,1.94E-07
15502.5,1.45E-06,4.15E-07,2.75E-07,1.94E-07,-7.25E-08,1.94E-07
15510,7.19E-07,4.14E-07,1.27E-07,1.94E-07,3.44E-07,1.94E-07
15517.5,3.51E-07,4.14E-07,1.27E-07,1.93E-07,3.45E-07,1.93E-07
15525,1.09E-06,4.13E-07,1.27E-07,1.93E-07,-7.27E-08,1.93E-07
15532.5,3.52E-07,4.13E-07,5.25E-08,1.93E-07,-7.28E-08,1.93E-07
15540,1.46E-06,4.12E-07,2.01E-07,1.93E-07,3.46E-07,1.93E-07
15547.5,7.22E-07,4.11E-07,2.02E-07,1.92E-07,-7.29E-08,1.92E-07
15555,3.53E-07,4.11E-07,2.76E-07,1.92E-07,3.46E-07,1.92E-07
15562.5,7.23E-07,4.10E-07,5.01E-07,1.92E-07,-7.31E-08,1.92E-07
15570,3.54E-07,4.10E-07,2.02E-07,1.92E-07,-7.31E-08,1.92E-07
15577.5,3.54E-07,4.09E-07,2.02E-07,1.91E-07,-7.32E-08,1.91E-07
15585,7.26E-07,4.09E-07,5.29E-08,1.91E-07,-7.33E-08,1.91E-07
15592.5,-1.66E-08,4.08E-07,3.53E-07,1.91E-07,3.48E-07,1.91E-07
15600,3.55E-07,4.07E-07,4.28E-07,1.91E-07,-7.34E-08,1.91E-07
15607.5,7.28E-07,4.07E-07,1.28E-07,1.90E-07,-7.35E-08,1.90E-07
15615,-1.67E-08,4.06E-07,1.28E-07,1.90E-07,-7.36E-08,1.90E-07
15622.5,-1.67E-08,4.06E-07,2.04E-07,1.90E-07,3.49E-07,1.90E-07
15630,3.56E-07,4.05E-07,-2.21E-08,1.90E-07,3.50E-07,1.90E-07
15637.5,3.57E-07,4.05E-07,1.29E-07,1.90E-07,-7.38E-08,1.90E-07
15645,1.11E-06,4.04E-07,2.04E-07,1.89E-07,3.50E-07,1.89E-07
15652.5,1.11E-06,4.04E-07,1.29E-07,1.89E-07,-7.39E-08,1.89E-07
15660,-1.68E-08,4.03E-07,1.29E-07,1.89E-07,3.51E-07,1.89E-07
15667.5,-1.68E-08,4.02E-07,1.29E-07,1.89E-07,-7.41E-08,1.89E-07
15675,-1.68E-08,4.02E-07,1.29E-07,1.88E-07,-7.41E-08,1.88E-07
15682.5,3.59E-07,4.01E-07,4.33E-07,1.88E-07,3.52E-07,1.88E-07
15690,-1.68E-08,4.01E-07,-2.23E-08,1.88E-07,1.21E-06,1.88E-07
15697.5,3.60E-07,4.00E-07,5.37E-08,1.88E-07,1.21E-06,1.88E-07
15705,3.60E-07,4.00E-07,1.30E-07,1.87E-07,3.53E-07,1.87E-07
15712.5,7.37E-07,3.99E-07,5.38E-08,1.87E-07,3.53E-07,1.87E-07
15720,7.38E-07,3.99E-07,5.11E-07,1.87E-07,3.54E-07,1.87E-07
15727.5,3.61E-07,3.98E-07,2.06E-07,1.87E-07,7.83E-07,1.87E-07
15735,3.61E-07,3.98E-07,3.59E-07,1.86E-07,7.83E-07,1.86E-07
15742.5,1.12E-06,3.97E-07,2.07E-07,1.86E-07,7.84E-07,1.86E-07
15750,7.41E-07,3.96E-07,2.07E-07,1.86E-07,-7.48E-08,1.86E-07
15757.5,-1.70E-08,3.96E-07,7.43E-07,1.86E-07,3.55E-07,1.86E-07
15765,-1.70E-08,3.95E-07,3.61E-07,1.86E-07,-7.50E-08,1.86E-07
15772.5,3.63E-07,3.95E-07,4.38E-07,1.85E-07,-7.51E-08,1.85E-07
15780,7.44E-07,3.94E-07,3.61E-07,1.85E-07,3.56E-07,1.85E-07
15787.5,7.44E-07,3.94E-07,1.31E-07,1.85E-07,3.57E-07,1.85E-07
15795,-1.71E-08,3.93E-07,5.43E-08,1.85E-07,3.57E-07,1.85E-07
15802.5,3.64E-07,3.93E-07,1.31E-07,1.84E-07,-7.53E-08,1.84E-07
15810,7.47E-07,3.92E-07,1.31E-07,1.84E-07,3.58E-07,1.84E-07
15817.5,-1.71E-08,3.92E-07,2.86E-07,1.84E-07,-7.55E-08,1.84E-07
15825,-1.71E-08,3.91E-07,5.45E-08,1.84E-07,3.58E-07,1.84E-07
15832.5,3.66E-07,3.91E-07,3.64E-07,1.83E-07,3.59E-07,1.83E-07
15840,-1.72E-08,3.90E-07,2.87E-07,1.83E-07,-7.57E-08,1.83E-07
15847.5,1.52E-06,3.89E-07,1.32E-07,1.83E-07,-7.58E-08,1.83E-07
15855,-1.72E-08,3.89E-07,1.32E-07,1.83E-07,-7.58E-08,1.83E-07
15862.5,3.67E-07,3.88E-07,1.32E-07,1.83E-07,-7.59E-08,1.83E-07
15870,-1.72E-08,3.88E-07,3.65E-07,1.82E-07,-7.60E-08,1.82E-07
15877.5,-1.72E-08,3.87E-07,1.33E-07,1.82E-07,-7.61E-08,1.82E-07
15885,-1.73E-08,3.87E-07,5.49E-08,1.82E-07,-7.61E-08,1.82E-07
15892.5,-1.73E-08,3.86E-07,5.50E-08,1.82E-07,7.99E-07,1.82E-07
15900,-1.73E-08,3.86E-07,2.89E-07,1.81E-07,-7.63E-08,1.81E-07
15907.5,3.69E-07,3.85E-07,3.67E-07,1.81E-07,-7.63E-08,1.81E-07
15915,7.57E-07,3.85E-07,1.33E-07,1.81E-07,-7.64E-08,1.81E-07
15922.5,1.14E-06,3.84E-07,1.33E-07,1.81E-07,-7.65E-08,1.81E-07
15930,7.58E-07,3.84E-07,1.33E-07,1.81E-07,3.63E-07,1.81E-07
15937.5,3.71E-07,3.83E-07,2.90E-07,1.80E-07,3.63E-07,1.80E-07
15945,3.71E-07,3.83E-07,-2.30E-08,1.80E-07,-7.67E-08,1.80E-07
15952.5,-1.74E-08,3.82E-07,2.91E-07,1.80E-07,-7.68E-08,1.80E-07
15960,7.61E-07,3.82E-07,2.91E-07,1.80E-07,3.64E-07,1.80E-07
15967.5,7.62E-07,3.81E-07,2.91E-07,1.79E-07,-7.69E-08,1.79E-07
15975,3.72E-07,3.81E-07,2.13E-07,1.79E-07,-7.70E-08,1.79E-07
15982.5,3.73E-07,3.80E-07,3.71E-07,1.79E-07,3.66E-07,1.79E-07
15990,3.73E-07,3.80E-07,2.13E-07,1.79E-07,3.66E-07,1.79E-07
15997.5,3.73E-07,3.79E-07,4.50E-07,1.79E-07,-7.72E-08,1.79E-07
16005,-1.75E-08,3.78E-07,3.72E-07,1.78E-07,-7.73E-08,1.78E-07
16012.5,-1.75E-08,3.78E-07,5.58E-08,1.78E-07,-7.74E-08,1.78E-07
16020,-1.76E-08,3.77E-07,2.14E-07,1.78E-07,-7.74E-08,1.78E-07
16027.5,-1.76E-08,3.77E-07,2.14E-07,1.78E-07,-7.75E-08,1.78E-07
16035,7.68E-07,3.76E-07,2.94E-07,1.77E-07,-7.76E-08,1.77E-07
16042.5,-1.76E-08,3.76E-07,5.60E-08,1.77E-07,-7.76E-08,1.77E-07
16050,1.16E-06,3.75E-07,1.35E-07,1.77E-07,-7.77E-08,1.77E-07
16057.5,-1.76E-08,3.75E-07,4.53E-07,1.77E-07,-7.78E-08,1.77E-07
16065,7.71E-07,3.74E-07,5.62E-08,1.77E-07,-7.79E-08,1.77E-07
16072.5,-1.77E-08,3.74E-07,1.36E-07,1.76E-07,3.70E-07,1.76E-07
16080,3.77E-07,3.73E-07,2.16E-07,1.76E-07,3.70E-07,1.76E-07
16087.5,7.73E-07,3.73E-07,5.64E-08,1.76E-07,3.70E-07,1.76E-07
16095,3.78E-07,3.72E-07,5.64E-08,1.76E-07,-7.82E-08,1.76E-07
16102.5,7.74E-07,3.72E-07,2.96E-07,1.75E-07,3.71E-07,1.75E-07
16110,7.75E-07,3.71E-07,1.37E-07,1.75E-07,-7.83E-08,1.75E-07
16117.5,3.79E-07,3.71E-07,5.66E-08,1.75E-07,3.72E-07,1.75E-07
16125,-1.78E-08,3.70E-07,1.37E-07,1.75E-07,3.72E-07,1.75E-07
16132.5,3.80E-07,3.70E-07,2.17E-07,1.75E-07,-7.85E-08,1.75E-07
16140,7.78E-07,3.69E-07,2.17E-07,1.74E-07,-7.86E-08,1.74E-07
16147.5,3.80E-07,3.69E-07,2.17E-07,1.74E-07,-7.87E-08,1.74E-07
16155,-1.79E-08,3.68E-07,5.68E-08,1.74E-07,-7.87E-08,1.74E-07
16162.5,3.81E-07,3.68E-07,2.18E-07,1.74E-07,8.26E-07,1.74E-07
16170,-1.79E-08,3.67E-07,5.69E-08,1.73E-07,3.74E-07,1.73E-07
16177.5,-1.79E-08,3.67E-07,1.38E-07,1.73E-07,3.75E-07,1.73E-07
16185,3.82E-07,3.66E-07,5.70E-08,1.73E-07,-7.90E-08,1.73E-07
16192.5,-1.79E-08,3.66E-07,2.19E-07,1.73E-07,-7.91E-08,1.73E-07
16200,3.83E-07,3.65E-07,3.00E-07,1.73E-07,3.76E-07,1.73E-07
16207.5,-1.80E-08,3.65E-07,2.19E-07,1.72E-07,-7.93E-08,1.72E-07
16215,3.84E-07,3.64E-07,3.00E-07,1.72E-07,-7.93E-08,1.72E-07
16222.5,1.19E-06,3.64E-07,1.38E-07,1.72E-07,-7.94E-08,1.72E-07
16230,3.84E-07,3.63E-07,3.82E-07,1.72E-07,-7.95E-08,1.72E-07
16237.5,3.85E-07,3.63E-07,5.74E-08,1.72E-07,-7.95E-08,1.72E-07
16245,-1.81E-08,3.62E-07,5.75E-08,1.71E-07,-7.96E-08,1.71E-07
16252.5,1.60E-06,3.62E-07,-2.39E-08,1.71E-07,-7.97E-08,1.71E-07
16260,1.19E-06,3.61E-07,5.76E-08,1.71E-07,3.78E-07,1.71E-07
16267.5,-1.81E-08,3.61E-07,2.21E-07,1.71E-07,-7.98E-08,1.71E-07
16275,-1.81E-08,3.60E-07,3.84E-07,1.70E-07,-7.99E-08,1.70E-07
16282.5,7.92E-07,3.60E-07,-2.40E-08,1.70E-07,3.79E-07,1.70E-07
16290,-1.82E-08,3.59E-07,-2.40E-08,1.70E-07,8.40E-07,1.70E-07
16297.5,3.88E-07,3.59E-07,2.22E-07,1.70E-07,3.80E-07,1.70E-07
16305,7.94E-07,3.58E-07,2.22E-07,1.70E-07,-8.02E-08,1.70E-07
16312.5,3.88E-07,3.58E-07,5.79E-08,1.69E-07,-8.03E-08,1.69E-07
16320,7.96E-07,3.58E-07,5.80E-08,1.69E-07,-8.04E-08,1.69E-07
16327.5,3.89E-07,3.57E-07,2.22E-07,1.69E-07,-8.04E-08,1.69E-07
16335,-1.83E-08,3.57E-07,1.40E-07,1.69E-07,-8.05E-08,1.69E-07
16342.5,7.98E-07,3.56E-07,3.05E-07,1.69E-07,3.82E-07,1.69E-07
16350,3.90E-07,3.56E-07,2.23E-07,1.68E-07,-8.07E-08,1.68E-07
16357.5,3.90E-07,3.55E-07,3.88E-07,1.68E-07,-8.07E-08,1.68E-07
16365,3.91E-07,3.55E-07,4.71E-07,1.68E-07,-8.08E-08,1.68E-07
16372.5,-1.83E-08,3.54E-07,2.24E-07,1.68E-07,3.84E-07,1.68E-07
16380,3.92E-07,3.54E-07,-2.43E-08,1.68E-07,3.84E-07,1.68E-07
16387.5,3.92E-07,3.53E-07,2.24E-07,1.67E-07,-8.10E-08,1.67E-07
16395,1.21E-06,3.53E-07,2.24E-07,1.67E-07,-8.11E-08,1.67E-07
16402.5,1.21E-06,3.52E-07,5.86E-08,1.67E-07,-8.12E-08,1.67E-07
16410,3.93E-07,3.52E-07,5.86E-08,1.67E-07,-8.12E-08,1.67E-07
16417.5,3.93E-07,3.51E-07,3.91E-07,1.67E-07,-8.13E-08,1.67E-07
16425,3.94E-07,3.51E-07,1.42E-07,1.66E-07,-8.14E-08,1.66E-07
16432.5,3.94E-07,3.50E-07,5.88E-08,1.66E-07,3.86E-07,1.66E-07
16440,3.94E-07,3.50E-07,1.42E-07,1.66E-07,-8.15E-08,1.66E-07
16447.5,3.95E-07,3.49E-07,5.89E-08,1.66E-07,8.56E-07,1.66E-07
16455,-1.85E-08,3.49E-07,5.90E-08,1.65E-07,-8.17E-08,1.65E-07
16462.5,3.95E-07,3.48E-07,2.26E-07,1.65E-07,3.88E-07,1.65E-07
16470,-1.86E-08,3.48E-07,2.26E-07,1.65E-07,-8.18E-08,1.65E-07
16477.5,-1.86E-08,3.48E-07,2.26E-07,1.65E-07,-8.19E-08,1.65E-07
16485,3.97E-07,3.47E-07,-2.46E-08,1.65E-07,3.89E-07,1.65E-07
16492.5,-1.86E-08,3.47E-07,2.27E-07,1.64E-07,-8.21E-08,1.64E-07
16500,3.97E-07,3.46E-07,1.43E-07,1.64E-07,3.90E-07,1.64E-07
16507.5,-1.86E-08,3.46E-07,1.43E-07,1.64E-07,-8.22E-08,1.64E-07
16515,3.98E-07,3.45E-07,2.28E-07,1.64E-07,-8.23E-08,1.64E-07
16522.5,-1.87E-08,3.45E-07,1.44E-07,1.64E-07,-8.24E-08,1.64E-07
16530,8.16E-07,3.44E-07,2.28E-07,1.63E-07,-8.24E-08,1.63E-07
16537.5,3.99E-07,3.44E-07,3.97E-07,1.63E-07,-8.25E-08,1.63E-07
16545,3.99E-07,3.43E-07,2.28E-07,1.63E-07,3.92E-07,1.63E-07
16552.5,4.00E-07,3.43E-07,5.97E-08,1.63E-07,-8.27E-08,1.63E-07
16560,-1.88E-08,3.42E-07,5.97E-08,1.63E-07,-8.27E-08,1.63E-07
16567.5,8.20E-07,3.42E-07,5.98E-08,1.62E-07,3.93E-07,1.62E-07
16575,4.01E-07,3.41E-07,3.14E-07,1.62E-07,3.93E-07,1.62E-07
16582.5,1.24E-06,3.41E-07,1.45E-07,1.62E-07,-8.30E-08,1.62E-07
16590,-1.88E-08,3.41E-07,5.99E-08,1.62E-07,-8.30E-08,1.62E-07
16597.5,4.02E-07,3.40E-07,2.30E-07,1.62E-07,-8.31E-08,1.62E-07
16605,4.02E-07,3.40E-07,4.85E-07,1.61E-07,3.95E-07,1.61E-07
16612.5,-1.89E-08,3.39E-07,2.30E-07,1.61E-07,3.95E-07,1.61E-07
16620,-1.89E-08,3.39E-07,4.01E-07,1.61E-07,-8.33E-08,1.61E-07
16627.5,4.03E-07,3.38E-07,6.02E-08,1.61E-07,8.75E-07,1.61E-07
16635,-1.89E-08,3.38E-07,1.46E-07,1.61E-07,-8.35E-08,1.61E-07
16642.5,-1.89E-08,3.37E-07,6.03E-08,1.60E-07,-8.36E-08,1.60E-07
16650,4.05E-07,3.37E-07,3.17E-07,1.60E-07,-8.36E-08,1.60E-07
16657.5,1.25E-06,3.36E-07,2.31E-07,1.60E-07,-8.37E-08,1.60E-07
16665,4.05E-07,3.36E-07,6.05E-08,1.60E-07,-8.38E-08,1.60E-07
16672.5,8.30E-07,3.36E-07,1.46E-07,1.60E-07,3.98E-07,1.60E-07
16680,4.06E-07,3.35E-07,4.89E-07,1.59E-07,3.98E-07,1.59E-07
16687.5,1.26E-06,3.35E-07,4.90E-07,1.59E-07,3.98E-07,1.59E-07
16695,1.26E-06,3.34E-07,3.18E-07,1.59E-07,-8.41E-08,1.59E-07
16702.5,-1.91E-08,3.34E-07,2.33E-07,1.59E-07,-8.42E-08,1.59E-07
16710,4.07E-07,3.33E-07,1.47E-07,1.59E-07,4.00E-07,1.59E-07
16717.5,4.08E-07,3.33E-07,1.47E-07,1.58E-07,-8.43E-08,1.58E-07
16725,4.08E-07,3.32E-07,2.33E-07,1.58E-07,-8.44E-08,1.58E-07
16732.5,4.09E-07,3.32E-07,1.47E-07,1.58E-07,4.01E-07,1.58E-07
16740,-1.92E-08,3.31E-07,-2.54E-08,1.58E-07,-8.45E-08,1.58E-07
16747.5,4.09E-07,3.31E-07,1.48E-07,1.58E-07,4.01E-07,1.58E-07
16755,-1.92E-08,3.31E-07,2.34E-07,1.57E-07,4.02E-07,1.57E-07
