Z,LR20,LR40,LR60,LR80,LR100,LR120
1012.5,3.35E-06,2.32E-06,1.74E-06,1.37E-06,1.12E-06,9.40E-07
1020,3.34E-06,2.32E-06,1.74E-06,1.37E-06,1.12E-06,9.42E-07
1027.5,3.32E-06,2.30E-06,1.72E-06,1.36E-06,1.11E-06,9.29E-07
1035,3.29E-06,2.28E-06,1.70E-06,1.34E-06,1.09E-06,9.14E-07
1042.5,3.28E-06,2.27E-06,1.70E-06,1.34E-06,1.09E-06,9.16E-07
1050,3.26E-06,2.26E-06,1.69E-06,1.33E-06,1.09E-06,9.07E-07
1057.5,3.24E-06,2.24E-06,1.68E-06,1.32E-06,1.08E-06,8.99E-07
1065,3.22E-06,2.23E-06,1.67E-06,1.31E-06,1.07E-06,8.91E-07
1072.5,3.20E-06,2.22E-06,1.66E-06,1.30E-06,1.06E-06,8.82E-07
1080,3.18E-06,2.20E-06,1.65E-06,1.29E-06,1.05E-06,8.74E-07
1087.5,3.16E-06,2.19E-06,1.64E-06,1.28E-06,1.04E-06,8.67E-07
1095,3.15E-06,2.18E-06,1.63E-06,1.28E-06,1.04E-06,8.62E-07
1102.5,3.13E-06,2.17E-06,1.62E-06,1.27E-06,1.03E-06,8.56E-07
1110,3.11E-06,2.16E-06,1.61E-06,1.26E-06,1.02E-06,8.49E-07
1117.5,3.09E-06,2.15E-06,1.60E-06,1.25E-06,1.01E-06,8.42E-07
1125,3.08E-06,2.13E-06,1.59E-06,1.24E-06,1.01E-06,8.34E-07
1132.5,3.06E-06,2.12E-06,1.58E-06,1.24E-06,1.00E-06,8.28E-07
1140,3.04E-06,2.11E-06,1.57E-06,1.23E-06,9.93E-07,8.21E-07
1147.5,3.03E-06,2.10E-06,1.57E-06,1.22E-06,9.86E-07,8.15E-07
1155,3.01E-06,2.09E-06,1.56E-06,1.22E-06,9.81E-07,8.10E-07
1162.5,3.00E-06,2.08E-06,1.55E-06,1.21E-06,9.77E-07,8.06E-07
1170,2.99E-06,2.07E-06,1.55E-06,1.21E-06,9.73E-07,8.03E-07
1177.5,2.98E-06,2.07E-06,1.54E-06,1.20E-06,9.71E-07,8.00E-07
1185,2.97E-06,2.06E-06,1.54E-06,1.20E-06,9.69E-07,8.00E-07
1192.5,2.96E-06,2.06E-06,1.54E-06,1.20E-06,9.69E-07,8.00E-07
1200,2.95E-06,2.06E-06,1.54E-06,1.20E-06,9.69E-07,8.00E-07
1207.5,2.94E-06,2.05E-06,1.54E-06,1.20E-06,9.69E-07,8.00E-07
1215,2.94E-06,2.05E-06,1.53E-06,1.20E-06,9.70E-07,8.01E-07
1222.5,2.93E-06,2.05E-06,1.53E-06,1.20E-06,9.70E-07,8.02E-07
1230,2.92E-06,2.05E-06,1.53E-06,1.20E-06,9.70E-07,8.02E-07
1237.5,2.91E-06,2.04E-06,1.53E-06,1.20E-06,9.69E-07,8.01E-07
1245,2.90E-06,2.03E-06,1.53E-06,1.20E-06,9.67E-07,7.99E-07
1252.5,2.89E-06,2.03E-06,1.52E-06,1.19E-06,9.66E-07,7.98E-07
1260,2.88E-06,2.03E-06,1.52E-06,1.19E-06,9.64E-07,7.97E-07
